MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101011030228,18.12,0.12,30.01636, 1.42010,53710.18424,0
1101011030228,18.19,0.12,30.01646, 1.42005,53710.19176,0
1101011030228,18.27,0.12,30.01624, 1.42006,53710.19926,0
1101011030228,17.95,0.11,30.01624, 1.42011,53710.20674,0
1101011030228,18.06,0.12,30.01637, 1.42004,53733.16550,0
1101011030228,18.28,0.13,30.01633, 1.42008,53733.17245,0
1101011030228,18.23,0.12,30.01632, 1.42012,53733.17943,0
1101011030228,18.02,0.11,30.01640, 1.42012,53733.18663,0
1101011030228,18.15,0.12,30.01631, 1.42003,53677.25689,0
1101011030228,18.02,0.12,30.01634, 1.42007,53677.26283,0
1101011030228,18.10,0.12,30.01633, 1.42020,53677.26880,0
1101011030228,17.98,0.11,30.01629, 1.42008,53677.27475,0
1101011030228,18.12,0.12,30.01625, 1.42010,53696.25641,0
1101011030228,18.13,0.12,30.01643, 1.42010,53696.26282,0
1101011030228,18.24,0.13,30.01628, 1.42000,53696.26921,0
1101011030228,18.40,0.14,30.01618, 1.41993,53696.27564,0
1101011030228,18.17,0.12,30.01647, 1.42014,53703.12114,0
1101011030228,18.18,0.12,30.01643, 1.42003,53703.12758,0
1101011030228,18.16,0.12,30.01650, 1.42004,53703.13406,0
1101011030228,18.28,0.13,30.01641, 1.41993,53703.14051,0
1101011030228,18.20,0.13,30.01638, 1.42001,53648.33976,0
1101011030228,18.08,0.12,30.01636, 1.42001,53671.27197,0
1101011030228,18.22,0.12,30.01642, 1.42001,53671.27732,0
1101011030228,18.16,0.12,30.01633, 1.42014,53671.28268,0
1101011030228,18.35,0.13,30.01626, 1.42006,53671.28805,0
1101011030228,18.30,0.13,30.01633, 1.41990,53627.38165,0
1101011030228,18.37,0.13,30.01643, 1.41996,53627.39086,0
1101011030228,18.21,0.13,30.01646, 1.42007,53627.40014,0
1101011030228,18.25,0.13,30.01633, 1.41999,53627.40919,0
1101011030228,18.17,0.12,30.01628, 1.42002,53637.44682,0
1101011030228,18.28,0.13,30.01624, 1.42006,53637.45523,0
1101011030228,18.12,0.12,30.01631, 1.42003,53637.46370,0
1101011030228,18.22,0.13,30.01623, 1.42009,53637.47215,0
1101011030228,17.96,0.11,30.01629, 1.42009,54080.25289,0
1101011030228,17.97,0.11,30.01630, 1.42007,54080.25960,0
1101011030228,17.86,0.10,30.01645, 1.42001,54080.26637,0
1101011030228,18.18,0.14,30.01637, 1.41989,54080.27309,0
1101011030228,17.94,0.11,30.01636, 1.41998,54090.15388,0
1101011030228,17.96,0.11,30.01638, 1.41987,54090.16165,0
1101011030228,18.13,0.11,30.01630, 1.42010,54090.16941,0
1101011030228,18.07,0.11,30.01636, 1.42004,54090.17718,0
1101011030228,18.21,0.12,30.01632, 1.41999,53773.11728,0
1101011030228,18.27,0.13,30.01632, 1.42006,53773.12267,0
1101011030228,18.31,0.13,30.01638, 1.42007,53773.12800,0
1101011030228,18.41,0.14,30.01641, 1.41996,53773.13335,0
1101011030228,18.45,0.39,30.01605, 1.42003,53741.11359,0
1101011030228,18.11,0.33,30.01632, 1.42005,53741.12209,0
1101011030228,18.61,0.43,30.01635, 1.41991,53741.13063,0
1101011030228,17.98,0.30,30.01626, 1.42015,53741.13914,0
1101011030228,18.10,0.12,30.01626, 1.42004,53763.09522,0
1101011030228,18.25,0.12,30.01627, 1.42014,53763.10331,0
1101011030228,18.23,0.12,30.01629, 1.42018,53763.11138,0
1101011030228,18.21,0.12,30.01647, 1.41998,53763.11950,0
1101011030228,18.02,0.11,30.01655, 1.42002,54052.18372,0
1101011030228,18.04,0.11,30.01638, 1.42010,54052.19069,0
1101011030228,18.07,0.11,30.01637, 1.42016,54052.19767,0
1101011030228,18.05,0.11,30.01639, 1.42010,54052.20466,0
1101011030228,17.88,0.10,30.01634, 1.42007,54058.21024,0
1101011030228,18.10,0.11,30.01629, 1.42004,54058.21686,0
1101011030228,18.01,0.11,30.01646, 1.42009,54058.22346,0
1101011030228,18.06,0.11,30.01631, 1.41998,54058.23007,0
1101011030228,18.01,0.11,30.01623, 1.42007,54024.26810,0
1101011030228,17.92,0.11,30.01636, 1.42012,54024.27587,0
1101011030228,18.05,0.11,30.01626, 1.42004,54024.28367,0
1101011030228,18.04,0.11,30.01637, 1.42004,54024.29148,0
1101011030228,17.93,0.11,30.01633, 1.42013,54030.30517,0
1101011030228,18.06,0.11,30.01640, 1.42006,54030.31160,0
1101011030228,17.86,0.10,30.01630, 1.42001,54030.31806,0
1101011030228,17.96,0.11,30.01635, 1.42015,54030.32457,0
1101011030228,18.08,0.11,30.01636, 1.42004,53996.33348,0
1101011030228,18.01,0.11,30.01636, 1.42011,53996.34149,0
1101011030228,18.06,0.11,30.01641, 1.42003,53996.34958,0
1101011030228,18.06,0.11,30.01639, 1.42007,53996.35764,0
1101011030228,18.01,0.11,30.01638, 1.41991,54004.38795,0
1101011030228,18.05,0.11,30.01637, 1.42007,54004.39672,0
1101011030228,17.98,0.11,30.01632, 1.42007,54004.40549,0
1101011030228,18.16,0.11,30.01643, 1.42013,54004.41426,0
1101011030228,18.18,0.12,30.01643, 1.41991,54440.11019,0
1101011030228,18.08,0.11,30.01633, 1.42010,54440.11659,0
1101011030228,18.06,0.11,30.01633, 1.42010,54440.12317,0
1101011030228,18.10,0.11,30.01647, 1.42012,54440.12959,0
1101011030228,18.05,0.11,30.01639, 1.42002,54411.20428,0
1101011030228,18.03,0.11,30.01624, 1.42007,54411.21286,0
1101011030228,18.10,0.11,30.01625, 1.41995,54411.22143,0
1101011030228,18.08,0.11,30.01623, 1.42015,54411.23000,0
1101011030228,18.19,0.12,30.01626, 1.42003,54421.26097,0
1101011030228,18.09,0.11,30.01640, 1.42001,54421.27024,0
1101011030228,18.05,0.11,30.01638, 1.42020,54421.27941,0
1101011030228,18.09,0.11,30.01631, 1.42013,54421.28861,0
1101011030228,17.80,0.10,30.01636, 1.42008,54383.30737,0
1101011030228,18.10,0.12,30.01642, 1.42019,54383.31390,0
1101011030228,18.04,0.11,30.01641, 1.42018,54383.32043,0
1101011030228,18.02,0.11,30.01654, 1.42018,54383.32694,0
1101011030228,18.11,0.11,30.01644, 1.42012,54392.30341,0
1101011030228,18.15,0.12,30.01638, 1.42014,54392.31261,0
1101011030228,18.08,0.11,30.01652, 1.42017,54392.32182,0
1101011030228,18.15,0.12,30.01649, 1.42013,54392.33106,0
1101011030228,17.95,0.11,30.01657, 1.42009,54404.26415,0
1101011030228,17.90,0.11,30.01634, 1.42009,54404.27269,0
1101011030228,17.96,0.11,30.01646, 1.42028,54404.27914,0
1101011030228,18.31,0.12,30.01644, 1.42016,54404.28557,0
1101011030228,17.97,0.11,30.01625, 1.41993,54346.42987,0
1101011030228,18.04,0.11,30.01652, 1.42003,54346.43633,0
1101011030228,17.98,0.11,30.01645, 1.42023,54346.44279,0
1101011030228,18.06,0.11,30.01653, 1.41998,54346.44922,0
1101011030228,18.16,0.12,30.01647, 1.42019,54354.35204,0
1101011030228,18.01,0.11,30.01642, 1.42017,54354.35857,0
1101011030228,18.03,0.11,30.01643, 1.42001,54354.36507,0
1101011030228,18.11,0.12,30.01639, 1.42015,54354.37159,0
1101011030228,18.16,0.11,30.01633, 1.42001,54801.22249,0
1101011030228,18.15,0.11,30.01646, 1.42006,54801.23037,0
1101011030228,18.08,0.11,30.01633, 1.42009,54801.23829,0
1101011030228,18.10,0.11,30.01641, 1.42016,54801.24621,0
1101011030228,18.11,0.11,30.01631, 1.41987,54831.15535,0
1101011030228,18.12,0.11,30.01626, 1.42009,54831.16494,0
1101011030228,17.99,0.11,30.01654, 1.42013,54831.17453,0
1101011030228,18.23,0.12,30.01626, 1.42014,54831.18416,0
1101011030228,17.94,0.11,30.01648, 1.42003,54477.11490,0
1101011030228,18.02,0.11,30.01640, 1.42013,54477.12134,0
1101011030228,18.11,0.11,30.01635, 1.42005,54477.12776,0
1101011030228,18.13,0.11,30.01635, 1.42015,54477.13420,0
1101011030228,17.98,0.11,30.01630, 1.41999,54778.24108,0
1101011030228,18.16,0.11,30.01628, 1.42007,54778.25444,0
1101011030228,18.01,0.11,30.01629, 1.42011,54778.26790,0
1101011030228,18.20,0.12,30.01628, 1.42002,54778.28135,0
1101011030228,18.09,0.11,30.01626, 1.42002,54789.18286,0
1101011030228,17.95,0.11,30.01634, 1.42019,54789.19102,0
1101011030228,18.22,0.12,30.01640, 1.42004,54789.19928,0
