#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
40.934500  1.031500  22.985  0.008
 75.373900  2.238600  22.676  0.016
 49.414300  2.378600  23.290  0.019
 42.683300  3.653200  23.412  0.044
 30.881300  0.712800  23.532  0.014
 27.260100  0.410500  23.626  0.016
 21.792600  0.364900  23.669  0.021
 30.405500  0.757500  23.699  0.015
 30.419300  0.523700  23.728  0.016
 22.837300  0.100500  23.776  0.013
 23.341300  0.364500  23.800  0.011
 28.477000  0.607800  23.515  0.013
 58.215700  1.761600  23.539  0.011
 58.699800  5.242400  23.641  0.034
 33.742900  1.084900  23.636  0.018
 43.443400  1.407100  23.701  0.012
 30.191200  0.551800  23.823  0.014
 39.712800  0.805200  23.656  0.012
 39.221700  0.729100  23.770  0.011
 30.864600  0.643200  23.799  0.016
 21.165200  0.222700  24.068  0.019
 21.895400  0.478000  24.148  0.028
 62.023700  2.111100  23.689  0.013
 21.803100  0.288900  23.928  0.014
 30.199300  0.247200  24.149  0.021
 19.317600  0.103300  24.063  0.013
 24.059600  0.748400  23.875  0.017
 23.634300  0.312100  24.095  0.015
 21.318700  0.367000  23.940  0.013
 26.946300  0.445300  23.899  0.013
 26.483800  0.280200  24.065  0.021
 28.563900  0.846500  24.021  0.012
 20.359400  0.171900  24.055  0.015
 19.912800  0.525200  24.203  0.030
 17.733200  0.154000  24.228  0.017
 26.406000  0.196200  24.303  0.018
 30.038900  0.636900  24.128  0.020
 17.648900  0.277600  24.154  0.016
 45.968600  1.216300  24.118  0.015
 17.982500  0.083300  24.189  0.011
 16.262600  0.128300  24.185  0.013
 20.752200  0.275600  23.991  0.011
 23.498400  0.265600  24.338  0.013
 19.014200  0.159600  24.264  0.013
 27.692200  0.371400  24.234  0.024
 23.292000  0.517200  24.400  0.027
 29.828800  1.002200  24.147  0.028
 13.272300  0.230100  24.328  0.018
 22.993200  0.218800  24.444  0.012
 19.341000  0.166800  24.136  0.018
 34.072600  0.818300  24.292  0.017
 18.311700  0.376700  24.326  0.023
 27.068000  0.300800  24.355  0.023
 18.303600  0.218500  24.351  0.019
 30.670700  0.540500  24.321  0.018
 23.924500  0.165000  24.379  0.024
 20.536500  0.297800  24.426  0.021
 14.257900  0.090600  24.524  0.016
 18.703200  0.188000  24.506  0.018
 29.446600  0.234900  24.478  0.026
 28.603900  0.266100  24.505  0.029
 27.100800  0.583200  24.248  0.015
 19.682500  0.149000  24.406  0.015
 28.922200  0.245300  24.515  0.026
 17.787800  0.226000  24.378  0.028
 32.749000  0.985900  24.172  0.023
 35.707600  1.505100  24.444  0.023
 24.317400  0.809400  24.230  0.023
 23.088300  0.214900  24.503  0.018
 26.724600  0.152700  24.458  0.021
 30.490700  0.697500  24.532  0.018
 21.420700  0.169600  24.295  0.022
 12.916100  0.147500  24.493  0.023
 26.158200  0.430300  24.488  0.016
 26.009900  0.468800  24.366  0.017
 13.558600  0.093200  24.600  0.017
 16.700500  0.112600  24.533  0.014
 13.611700  0.176500  24.711  0.024
 19.328100  0.289700  24.613  0.023
 16.772300  0.184100  24.566  0.021
 50.625000  10.701500  24.376  0.037
 12.834700  0.137500  24.511  0.020
 28.112800  0.464700  24.601  0.021
 13.829600  0.309300  24.550  0.024
 16.496900  0.204800  24.430  0.021
 15.452200  0.270000  24.583  0.015
 17.555000  0.286200  24.674  0.020
 17.410200  0.192700  24.454  0.018
 25.692000  0.644500  24.453  0.020
 17.237300  0.187300  24.692  0.016
 20.562500  0.169600  24.514  0.023
 17.197700  0.172700  24.611  0.017
 15.722200  0.127100  24.565  0.016
 26.117600  0.463300  24.401  0.018
 18.167600  0.224100  24.675  0.018
 21.532000  0.225400  24.765  0.021
 12.328500  0.142300  24.659  0.016
 22.229500  0.287600  24.639  0.023
 24.381000  0.450800  24.454  0.020
 16.271000  0.333000  24.573  0.027
 10.031000  0.099900  24.764  0.023
 14.763800  0.143200  24.615  0.025
 16.768300  0.171900  24.753  0.022
 10.623400  0.162500  24.719  0.024
 14.041800  0.141400  24.749  0.019
 15.991300  0.225700  24.780  0.018
 16.644800  0.346800  24.754  0.017
  9.451300  0.144900  24.856  0.016
  5.750200  0.046600  24.789  0.015
 25.069800  0.348900  24.733  0.019
 11.598700  0.123700  24.719  0.022
 14.986700  0.174700  24.724  0.020
 33.252300  0.801500  24.650  0.024
 22.536700  0.176000  24.539  0.016
 14.392100  0.112300  24.791  0.022
 14.716000  0.140700  24.866  0.022
 25.435700  0.494500  25.193  0.022
  9.887100  0.112000  24.743  0.017
 12.206000  0.092700  24.914  0.018
 15.797700  0.203500  24.929  0.019
 12.710000  0.167800  24.912  0.021
 29.548000  0.654200  24.700  0.018
  9.928400  0.055200  24.824  0.022
 11.317400  0.154100  24.780  0.025
 12.846500  0.143900  24.792  0.020
 11.254500  0.217400  24.930  0.022
  8.139000  0.074900  24.719  0.022
 11.538600  0.074500  24.827  0.020
 22.249100  0.196800  24.739  0.022
 11.441500  0.124100  24.880  0.020
 14.806600  0.343900  24.891  0.024
 18.098000  0.367900  24.595  0.027
 10.263200  0.141200  24.786  0.025
 14.538600  0.215700  24.920  0.022
 13.428700  0.148500  24.852  0.021
 22.321000  0.315200  24.561  0.018
 11.391000  0.081100  24.716  0.020
 14.964900  0.100900  24.892  0.021
 14.310800  0.140600  25.038  0.022
 16.137200  0.255800  24.822  0.021
 20.913500  0.494700  24.689  0.019
 16.569400  0.164400  24.836  0.020
 13.401500  0.097600  24.943  0.023
 10.831300  0.106600  24.942  0.020
 16.078400  0.220400  24.693  0.022
 22.538900  0.322300  24.858  0.040
  8.176800  0.153600  25.056  0.018
 19.503200  0.290000  24.674  0.020
 11.303100  0.166300  24.894  0.022
 14.383500  0.179100  24.892  0.021
 18.833500  0.188400  24.787  0.023
 16.074900  0.254600  24.950  0.023
  6.283800  0.061300  24.894  0.016
 16.223600  0.496600  24.858  0.027
 11.343300  0.103300  24.887  0.020
 13.793500  0.298000  25.517  0.037
 11.718600  0.189700  24.756  0.023
 16.291600  0.178100  24.877  0.019
 12.145900  0.122800  24.841  0.020
 10.607100  0.134000  25.023  0.022
 21.501400  0.560200  24.805  0.020
 10.603000  0.103500  24.960  0.024
 14.952500  0.163900  24.895  0.025
 10.103000  0.069400  24.996  0.017
 11.187000  0.116400  25.049  0.019
 10.849400  0.087600  25.731  0.054
 14.844900  0.224800  24.839  0.026
 10.179500  0.105700  24.962  0.020
 18.954900  0.593300  25.103  0.027
 12.139600  0.231800  25.005  0.030
 13.641700  0.151800  24.965  0.022
 16.526900  0.405600  25.018  0.024
